All Inconsistent Naming Entries
================================================================================

Total: 1331
Categories: affixation=1007, evolution=240, policy=526, unknown=0

ace | categories: affixation
python-flask | categories: affixation
python-flask-restful | categories: affixation
python-ftdi1 | categories: evolution
python-funcsigs | categories: affixation
python-future | categories: affixation
python-genshi | categories: affixation
python-geopy | categories: affixation
python-gevent | categories: affixation
python-gi | categories: policy
python-gi-cairo | categories: policy
python-git | categories: policy
python-gnupg | categories: affixation
python-gobject | categories: affixation,policy
python-googleapi | categories: policy
python-gridfs | categories: policy
python-gst | categories: policy
python-gst-1.0 | categories: policy
python-gtk2 | categories: evolution,policy
python-h5py | categories: affixation
python-httplib2 | categories: affixation
python-hypothesis | categories: affixation
python-imageio | categories: affixation
python-ipdb | categories: affixation
python-itsdangerous | categories: affixation
python-jinja2 | categories: evolution
python-joblib | categories: affixation
python-jsonpickle | categories: affixation
python-jsonschema | categories: affixation
python-kitchen | categories: affixation
python-libpcap | categories: policy
python-lxml | categories: affixation
python-mako | categories: affixation
python-markdown | categories: affixation
python-marshmallow | categories: affixation
python-matplotlib | categories: affixation
python-mechanize | categories: affixation
python-mock | categories: affixation
python-monotonic | categories: affixation
python-msgpack | categories: affixation
python-mysqldb | categories: policy
python-netcdf4 | categories: policy
python-netifaces | categories: affixation
python-networkx | categories: affixation
python-nose | categories: affixation
python-ntplib | categories: affixation
python-numpy | categories: affixation
python-numpydoc | categories: affixation
python-oauth2 | categories: affixation
python-oauth2client | categories: affixation
python-opengl | categories: affixation,policy
python-openssl | categories: policy
python-pandas | categories: affixation
python-paramiko | categories: affixation
python-passlib | categories: affixation
python-pastedeploy | categories: affixation,policy
python-path.py | categories: policy
python-pathlib | categories: affixation
python-pathlib2 | categories: affixation
python-pbr | categories: affixation
python-pcapy | categories: affixation
python-pep8 | categories: affixation
python-pexpect | categories: affixation
python-pip | categories: affixation
python-prettytable | categories: affixation
python-progressbar | categories: affixation
python-protobuf | categories: policy
python-psutil | categories: affixation
python-psycopg2 | categories: evolution
python-pyassimp | categories: affixation,policy
python-pyaudio | categories: affixation,policy
python-pycodestyle | categories: affixation
python-pycryptodome | categories: affixation,policy
python-pydot | categories: affixation
python-pyftpdlib | categories: affixation
python-pygame | categories: affixation
python-pygraphviz | categories: affixation
python-pyinotify | categories: affixation,policy
python-pylint3 | categories: affixation,evolution
python-pymongo | categories: affixation
python-pypng | categories: affixation
python-pyproj | categories: affixation
python-pyqrcode | categories: policy
python-pyqtgraph | categories: affixation
python-pyquery | categories: affixation
python-pyramid | categories: affixation
python-pyside | categories: affixation
python-pysnmp | categories: evolution
python-pytest | categories: affixation
python-pytest-cov | categories: affixation
python-pytest-mock | categories: affixation
python-pyudev | categories: affixation
python-qrencode | categories: policy
python-qt-bindings-qwt5 | categories: policy
python-qt5-bindings-gl | categories: affixation,policy
python-qt5-bindings-qsci | categories: policy
python-qt5-bindings-webkit | categories: affixation,policy
python-qwt5-qt4 | categories: policy
python-rdflib | categories: affixation
python-redis | categories: policy
python-requests | categories: affixation
python-requests-oauthlib | categories: affixation
python-rosdep | categories: affixation
python-rosdep-modules | categories: affixation
python-rosdistro | categories: affixation
python-rosinstall | categories: affixation
python-rosinstall-generator | categories: affixation
python-rospkg | categories: affixation
python-rospkg-modules | categories: affixation
python-rrdtool | categories: affixation
python-scapy | categories: affixation,policy
python-scipy | categories: affixation
python-seaborn | categories: affixation
python-serial | categories: affixation,policy
python-sh | categories: affixation
python-shapely | categories: affixation
python-simplejson | categories: affixation
python-sip4 | categories: affixation,evolution
python-six | categories: affixation
python-skimage | categories: policy
python-sklearn | categories: affixation,policy
python-sparqlwrapper | categories: policy
python-sphinx | categories: affixation
python-sqlalchemy | categories: affixation
python-subprocess32 | categories: affixation
python-support | categories: policy
python-svn | categories: policy
python-sympy | categories: affixation
python-tblib | categories: affixation
python-termcolor | categories: affixation
python-testscenarios | categories: affixation
python-testtools | categories: affixation
python-texttable | categories: affixation
python-theano | categories: affixation
python-tilestache | categories: affixation
python-tornado | categories: affixation,evolution
python-twisted-bin | categories: affixation
python-twisted-core | categories: affixation
python-twisted-web | categories: affixation,policy
python-typing | categories: affixation
python-tz | categories: affixation,policy
python-ujson | categories: affixation
python-urlgrabber | categories: affixation
python-urllib3 | categories: affixation
python-usb | categories: affixation,policy
python-vcstools | categories: affixation
