entry_name,platform1,platform2,jaccard_similarity,file_count1,file_count2,intersection,union
gstreamer1.0-x,debian_bookworm,fedora_43,0.0,6,282,0,288
gstreamer1.0-x,debian_bookworm,opensuse_15.2,0.0,6,9,0,15
gstreamer1.0-x,fedora_42,opensuse_15.2,0.0,282,9,0,291
gstreamer1.0-x,fedora_42,ubuntu_focal,0.0,282,9,0,291
gstreamer1.0-x,fedora_42,ubuntu_jammy,0.0,282,5,0,287
gstreamer1.0-x,fedora_42,ubuntu_noble,0.0,282,5,0,287
gstreamer1.0-x,fedora_43,opensuse_15.2,0.0,282,9,0,291
gstreamer1.0-x,fedora_43,ubuntu_focal,0.0,282,9,0,291
gstreamer1.0-x,fedora_43,ubuntu_jammy,0.0,282,5,0,287
gstreamer1.0-x,fedora_43,ubuntu_noble,0.0,282,5,0,287
gstreamer1.0-x,opensuse_15.2,ubuntu_focal,0.0,9,9,0,18
gstreamer1.0-x,opensuse_15.2,ubuntu_jammy,0.0,9,5,0,14
gstreamer1.0-x,opensuse_15.2,ubuntu_noble,0.0,9,5,0,14
hdf5,arch,debian_bookworm,0.0,233,145,0,378
hdf5,arch,ubuntu_focal,0.0,233,147,0,380
hdf5,arch,ubuntu_jammy,0.0,233,144,0,377
hdf5,arch,ubuntu_noble,0.0,233,144,0,377
hdf5,debian_bookworm,fedora_42,0.0,145,193,0,338
hdf5,debian_bookworm,fedora_43,0.0,145,193,0,338
hdf5,fedora_42,ubuntu_focal,0.0,193,147,0,340
hdf5,fedora_42,ubuntu_jammy,0.0,193,144,0,337
hdf5,fedora_42,ubuntu_noble,0.0,193,144,0,337
hdf5,fedora_43,ubuntu_focal,0.0,193,147,0,340
hdf5,fedora_43,ubuntu_jammy,0.0,193,144,0,337
hdf5,fedora_43,ubuntu_noble,0.0,193,144,0,337
ifstat,debian_bookworm,opensuse_15.2,0.0,7,178,0,185
