entry_key,type,entry,missing_type,platform,version,package_name,expected_package,detected_package,os_platform,os_version,os_package,current_manager,suggested_platform,suggested_version,suggested_package,description,status
azure-core-pip,A.2,azure-core-pip,platform,nixos,unstable,,,,,,,,,,python314Packages.azure-core,Entry 'azure-core-pip' missing version 'unstable' for platform 'nixos'; suggested package: 'python314Packages.azure-core',ok
azure-core-pip,A.2,azure-core-pip,platform,rhel,9,,,,,,,,,,python3-azure-core,Entry 'azure-core-pip' missing version '9' for platform 'rhel'; suggested package: 'python3-azure-core',ok
azure-core-pip,B.2,azure-core-pip,,,,,,,,,,pip,debian,bookworm,python3-azure,Entry 'azure-core-pip' using pip but package 'python3-azure' available in debian bookworm,ok
azure-core-pip,B.2,azure-core-pip,,,,,,,,,,pip,fedora,41,python3-azure-core,Entry 'azure-core-pip' using pip but package 'python3-azure-core' available in fedora 41,ok
azure-core-pip,B.2,azure-core-pip,,,,,,,,,,pip,ubuntu,jammy,python3-azure,Entry 'azure-core-pip' using pip but package 'python3-azure' available in ubuntu jammy,ok
azure-iothub-device-client-pip,B.1a,azure-iothub-device-client-pip,,,,,,,,,,,,,,No distribution info found for entry 'azure-iothub-device-client-pip',ok
azure-mgmt-storage-pip,A.2,azure-mgmt-storage-pip,platform,arch,,,,,,,,,,,azure-cli,Entry 'azure-mgmt-storage-pip' missing version '' for platform 'arch'; suggested package: 'azure-cli',ok
azure-mgmt-storage-pip,A.2,azure-mgmt-storage-pip,platform,opensuse,15.2,,,,,,,,,,python3-azure-mgmt-storage,Entry 'azure-mgmt-storage-pip' missing version '15.2' for platform 'opensuse'; suggested package: 'python3-azure-mgmt-storage',ok
azure-mgmt-storage-pip,A.2,azure-mgmt-storage-pip,platform,nixos,unstable,,,,,,,,,,python314Packages.azure-mgmt-storage,Entry 'azure-mgmt-storage-pip' missing version 'unstable' for platform 'nixos'; suggested package: 'python314Packages.azure-mgmt-storage',ok
azure-mgmt-storage-pip,A.2,azure-mgmt-storage-pip,platform,rhel,9,,,,,,,,,,python3-azure-mgmt-storage,Entry 'azure-mgmt-storage-pip' missing version '9' for platform 'rhel'; suggested package: 'python3-azure-mgmt-storage',ok
azure-mgmt-storage-pip,B.2,azure-mgmt-storage-pip,,,,,,,,,,pip,debian,bookworm,python3-azure,Entry 'azure-mgmt-storage-pip' using pip but package 'python3-azure' available in debian bookworm,ok
